Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
meal_id113,sticky chicken wings,Chicken,"chicken wings without skin, hung curd, chilli powder, sweet paprika powder, english mustard paste, garlic paste, salt, garlic, bbq sauce",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,670
meal_id58,Grilled Salmon with Spinach Salad, Fish,"Salmon Fillet (200g), Spinach (100g), Olive Oil (10ml), Lemon Juice (10ml), Garlic (5g, minced), Salt (to taste), Black Pepper (to taste)",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,505
meal_id114,Baked Chicken Fritters,Chicken,"Chicken Breast (200g, finely chopped), Egg (1 large), Spinach (50g, finely chopped), Garlic (5g, minced), Onion (30g, finely chopped), Olive Oil (10ml), Salt (to taste), Black Pepper (to taste), Oats (20g, ground into flour)",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,485
meal_id115,Chicken Palwal,Chicken,"Chicken (150g), Onions (50g), Tomatoes (50g), Green Chilies (5g), Cumin Powder (5g), Coriander Powder (5g), Fresh Coriander (10g), Yogurt (50g), Ginger Garlic Paste (10g), Red Chili Powder (5g), Salt (5g), Oil (10ml)",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,265
meal_id116,Pan Seared Thigh of Chicken,Chicken,"Chicken Thigh (150g), Salt (5g), Black Pepper (5g), Lemon (10ml), Fresh Thyme (5g), Barley (50g), Broccoli (50g), Mushrooms (50g), Extra Virgin Olive Oil (10ml), Cherry Tomatoes (50g)",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,250
meal_id117,Chicken in Mahalak Sauce,Chicken,"Salt (5g), Sugar (5g), Seasoning (5g), Oil (10ml), Corn Flour (10g), Chicken Leg (150g), Fresh Red Chilies (10g), Garlic (5g), Ginger (5g), Onions (50g), Red Chili Paste (10g), Tomato Ketchup (20g), Red Bell Pepper (50g), Yellow Bell Pepper (50g), Vegetable Stock (100ml)",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,570
meal_id118,Grilled Chicken Breast with Sweet Potato Mash,Chicken,"Chicken Breast (200g), Sweet Potato (150g), Red and Yellow Bell Peppers (50g), Broccoli (50g), Garlic Cloves (10g), Olive Oil (10ml), Salt (5g), Spring Onions (10g)",non-veg,iron, anemia hypertension scurvy rickets goitre kidney_disease pregnancy, alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_carb_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet type_a_diet,240
meal_id119,Chicken Dong Style,Chicken,"Oil (10ml), Chicken Breast (200g), Garlic (10g), Ginger (10g), Tomato Ketchup (20g), Oyster Sauce (20g), Shiitake Mushrooms (50g), Bamboo Shoots (50g), Salt (5g), Sugar (5g), Broth Powder (5g), Shaoxing Wine (20ml), Potato Starch (10g), Sesame Oil (5ml), Spring Onions (10g)",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,500
meal_id120,Microwave Tandoori Chicken,Chicken,"Chicken (cut into pieces), Garlic Paste, Ginger Paste, Hung Curd, Salt, Garam Masala, Coriander Powder, Black Pepper Powder, Oil, For Garnishing: Lemon Wedges, Onion Rings",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,240
meal_id121,Methi Malai Cranberry Chicken,Chicken,"Chicken (cut into large pieces), Salt, Cranberry Puree, Red Chili Powder, Garam Masala, Coriander Powder, Cumin Powder, Chaat Masala, Corn Flour, Fenugreek Leaves, Chickpea Flour, Ginger, Garlic, Greek Yogurt, Olive Oil",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,450
meal_id122,Healthy Baked Chicken Tenders,Chicken,"Chicken Breast (cut into 20 strips, 20g each), Whole Wheat Flour, Salt, Cayenne Pepper, Eggs, Whole Wheat Bread Crumbs (or panko crumbs), White Cabbage Slaw, Greek Yogurt-Based Honey Mustard Dip, Green Bell Pepper",non-veg,iron, anemia cancer rickets goitre kidney_disease pregnancy, alkaline_diet low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,460
meal_id123,Baked Lemon Herb Chicken, Chicken,"Chicken Breast (200g), Lemon Juice (20ml), Olive Oil (10ml), Garlic (10g), Fresh Herbs (Thyme, Rosemary, Parsley - 15g), Salt (5g), Black Pepper (5g), Broccoli (100g), Carrots (50g), Red Bell Pepper (50g)",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,340
meal_id124,Grilled Salmon with Steamed Vegetables,Fish,"Salmon Fillet (200g), Lemon Juice (20ml), Olive Oil (10ml), Garlic (10g), Fresh Dill (10g), Salt (5g), Black Pepper (5g), Broccoli (100g), Carrots (50g), Green Beans (50g)",non-veg,phosphorus, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,480
meal_id2,Grilled Chicken with Quinoa and Vegetables,Chicken,"Chicken Breast (200g), Quinoa (50g), Broccoli (50g), Spinach (50g), Bell Peppers (50g), Olive Oil (10ml), Garlic (5g), Lemon Juice (10ml), Salt (5g), Black Pepper (5g), Fresh Parsley (10g)",non-veg,fiber, anemia pregnancy hypertension rickets goitre kidney_disease obesity, low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,455
meal_id46,Steamed Bunny Chicken Bao (Keto-Friendly),Chicken,"Keto Buns (made from Almond Flour, Coconut Flour, Psyllium Husk, Baking Powder, Salt, Eggs, Warm Water), Ground Chicken, Eggs, Soy Sauce, Sugar Substitute (like Stevia), Sesame Oil, Worcestershire Sauce, Chives, Aromat Powder",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,405
meal_id125,Grilled Sardines with Spinach and Kale Salad,Fish,"Sardines (200g), Olive Oil (10ml), Lemon Juice (10ml), Garlic (5g), Salt (5g), Black Pepper (5g), Spinach (50g), Kale (50g), Cherry Tomatoes (50g), Avocado (50g), Almonds (20g), Feta Cheese (optional, 30g)",non-veg,calcium, anemia pregnancy eye_disease rickets goitre kidney_disease obesity, alkaline_diet low_fat_diet low_carb_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet type_a_diet,270
meal_id126,Andhra Crab Meat Masala, Meat,"Processed crab meat (200g), olive oil (10ml), curry leaves (5g), garlic (10g, minced), green chili (5g, chopped), onion (50g, finely chopped), ginger-garlic paste (10g), fresh coriander (10g, chopped), coriander powder (5g), cumin powder (5g), turmeric powder (2g), garam masala powder (2g), Kashmiri chili powder (5g), salt (adjusted to low-sodium diet, 2g), lemon juice (10ml), chaat masala (2g), fresh tomato (50g, chopped)",non-veg,potassium, anemia pregnancy cancer kidney_disease obesity, type_o_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,515
meal_id47,Meat Lovers Pizza,Meat,"Cauliflower crust (cauliflower, almond flour, egg, garlic powder, baking powder, salt), soy milk, garlic powder, reduced-sodium tomato sauce, part-skim mozzarella cheese(Reduces fat content while still providing protein and calcium), grilled chicken breast (thinly sliced), bell peppers, spinach, tomatoes, rosemary, olive oil",non-veg,potassium, anemia pregnancy cancer goitre kidney_disease obesity, type_o_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,375
meal_id127,Grilled Lemon Garlic Chicken Breast,Chicken,"Chicken breast (200g), Lemon juice (from 1 lemon), Garlic (2 cloves, minced), Olive oil (10ml), Salt (to taste), Black pepper (to taste), Fresh herbs (such as parsley or thyme) for garnish",non-veg,vitamin_c, cancer, high_protien_diet,555
meal_id8,Lamb and Chargrilled Bell Pepper Soup, Soup,"Lamb bones (preferably shank and shoulder), onions, celery, ginger, garlic, carrot, chargrilled red/yellow/green bell peppers (quartered), whole spices mix (black pepper, cinnamon, cardamom, clove, bay leaf), salt, water (warm), oil (sunflower or olive)",non-veg,sodium, pregnancy scurvy goitre kidney_disease obesity, alkaline_diet,315
meal_id128,Iron-Rich Lamb and Lentil Soup, Soup,"Lamb meat (lean cuts, diced), lentils (green or brown), onions, carrots, celery, garlic, vegetable broth (low-fat), spinach, cumin, coriander, paprika, salt, pepper, olive oil (optional)",non-veg,iron, goitre, vegan_diet low_fat_diet high_fiber_diet,655
meal_id129,Fish Curry,Fish,"Fish fillets (500g, cut into chunks), Onion (1, finely chopped), Tomato (2, finely chopped), Garlic (4 cloves, minced), Ginger (1 tablespoon, minced), Green chili (2, slit lengthwise), Curry leaves (1 sprig), Mustard seeds (1 teaspoon), Cumin seeds (1 teaspoon), Turmeric powder (1 teaspoon), Red chili powder (1 teaspoon), Coriander powder (1 tablespoon), Coconut milk (1 cup), Tamarind paste (1 tablespoon), Salt (to taste), Olive oil (2 tablespoons), Fresh coriander leaves (for garnish)",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,615
meal_id130,Grilled Salmon with Lemon and Asparagus,Fish,"Salmon fillets (4, about 150g each), Lemon (1, sliced), Asparagus (1 bunch, trimmed), Olive oil (2 tablespoons), Garlic (2 cloves, minced), Salt (to taste), Black pepper (to taste), Fresh parsley (for garnish)",non-veg,phosphorus, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,650
meal_id131,Balti Meat Curry, Meat,"Refined oil (1 tablespoon), Black cardamoms (2), Green cardamoms (3), Mace (1 blade), Cloves (2), Cinnamon stick (1/2 inch), Black peppercorns (1/2 teaspoon), Ginger-garlic paste (1 tablespoon), Ginger (1/2 inch, julienned), Green chilies (1, slit), Lean mutton curry cut (500g, excess fat trimmed), Brown onion paste (1/4 cup), Salt (to taste, reduced amount), Kashmiri red chili powder (1 teaspoon), Tomato puree (1/4 cup), Garam masala powder (1/2 teaspoon), Coriander powder (1/2 teaspoon), Cumin powder (1/2 teaspoon)",non-veg,potassium, anemia pregnancy cancer kidney_disease obesity, type_o_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,275
meal_id132,Coffee Marinated Mutton Chops, Meat,"Mutton chops (500g), Espresso (brewed, 1/4 cup), Honey (1 tablespoon), Balsamic vinegar (1 tablespoon), Rosemary (fresh, chopped, 1 tablespoon), Pink peppercorns (crushed, 1 teaspoon), Olive oil (1 tablespoon), Salt (to taste)",non-veg,chloride, pregnancy anemia, ketogenic_diet hormone_diet,335
meal_id133,grilled salmon with spinach and avocado,Fish,"Salmon fillet, spinach, avocado, olive oil, garlic, lemon juice, salt, black pepper",non-veg,potassium, anemia pregnancy cancer kidney_disease obesity, type_o_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,260
meal_id134,Spiced Grilled Chicken with Quinoa Salad,Chicken,"Chicken breast (200g, boneless and skinless), Olive oil (1 tablespoon), Paprika (1 teaspoon), Cumin powder (1 teaspoon), Salt (to taste), Black pepper (to taste), Quinoa (1 cup, cooked), Cherry tomatoes (1 cup, halved), Cucumber (1, diced), Red onion (1/4 cup, finely chopped), Fresh parsley (2 tablespoons, chopped), Lemon juice (2 tablespoons), Olive oil (1 tablespoon)",non-veg,iron, goitre, vegan_diet low_fat_diet high_fiber_diet,460
meal_id47,Herb-Roasted Chicken with Vegetables,Chicken,"Chicken breast (200g, boneless and skinless), Olive oil (1 tablespoon), Garlic (3 cloves, minced), Fresh rosemary (1 tablespoon, chopped), Fresh thyme (1 tablespoon, chopped), Salt (to taste), Black pepper (to taste), Sweet potatoes (1 cup, diced), Carrots (1 cup, sliced), Green beans (1 cup, trimmed), Broccoli florets (1 cup), Lemon juice (1 tablespoon)",non-veg,potassium, anemia pregnancy cancer goitre kidney_disease obesity, type_o_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,335
meal_id135,Turkey Lettuce Wraps,Chicken,"Ground turkey (200g), Olive oil (1 tablespoon), Garlic (2 cloves, minced), Ginger (1 tablespoon, minced), Soy sauce (2 tablespoons, low sodium), Hoisin sauce (1 tablespoon), Sriracha (1 teaspoon), Water chestnuts (1/2 cup, diced), Green onions (1/4 cup, chopped), Carrots (1/2 cup, shredded), Romaine lettuce leaves (8-10 large leaves), Salt (to taste), Black pepper (to taste)",non-veg,iron, goitre, vegan_diet low_fat_diet high_fiber_diet,525
meal_id44,Andhra Pan Fried Tofu,Curry,"Firm tofu (200g, sliced), Sunflower refined oil (1 tablespoon), Red chili powder (1 teaspoon), Salt (to taste), Turmeric powder (1/2 teaspoon), Ginger-garlic paste (1 tablespoon), Lemon (juiced), Cumin powder (1/2 teaspoon), Coriander powder (1/2 teaspoon), Garam masala (1/2 teaspoon), Green chili (1, slit), Curry leaves (a few), Fresh coriander (for garnish)",veg,iron, cancer, alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet,245
meal_id136,Malabari Fish Curry,Curry,"Seer fish (200g, trimmed), Light coconut milk (1 cup), Ginger (1 tablespoon, minced), Pureed tamarind (2 tablespoons), Salt (to taste), Turmeric powder (1/2 teaspoon), Green chilies (2, slit), Red chili powder (1 teaspoon), Shallots (1/2 cup, sliced), Cooking spray (for sautéing)",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,405
meal_id137,grilled tuna salad,Fish,"Tuna steak, mixed greens, cherry tomatoes, cucumber, bell peppers, olive oil, lemon juice, salt, black pepper",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,455
meal_id138,Malabari Fish Curry,Curry,"Seer fish (200g, trimmed), Light coconut milk (1 cup), Ginger (1 tablespoon, minced), Pureed tamarind (2 tablespoons), Salt (to taste), Turmeric powder (1/2 teaspoon), Green chilies (2, slit), Red chili powder (1 teaspoon), Shallots (1/2 cup, sliced), Cooking spray (for sautéing)",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,510
meal_id139,Surmai Curry with Rice,Curry,"Surmai (200g), Tamarind (1 lemon-sized ball), Red chili powder (1 teaspoon), Turmeric powder (1/2 teaspoon), Salt (to taste, reduced amount), Fresh coconut (1/2 cup, grated), Onion (1, finely chopped), Garlic cloves (3, minced), Coriander seeds (1 teaspoon), Fenugreek seeds (1/2 teaspoon), Water (as needed), Brown rice (1 cup, cooked), Lime (1, for garnish)",veg,chloride, obesity diabeties anemia, low_sodium_diet vegan_diet dash_diet ketogenic_diet,445
meal_id140,Grilled Salmon with Quinoa and Steamed Broccoli,Fish,"Salmon fillet (200g), Olive oil (1 tablespoon), Lemon juice (1 tablespoon), Garlic powder (1/2 teaspoon), Salt (to taste), Black pepper (to taste), Quinoa (1/2 cup, cooked), Broccoli florets (1 cup, steamed)",non-veg,calcium, anemia pregnancy hypertension heart_disease rickets goitre obesity diabeties, low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet,265
meal_id141,Grilled Lemon Garlic Chicken with Steamed Asparagus and Brown Rice,Chicken,"Chicken breast (200g, grilled), Lemon juice (2 tablespoons), Garlic (2 cloves, minced), Olive oil (1 tablespoon), Salt (to taste), Black pepper (to taste), Asparagus (1 cup, steamed), Brown rice (1/2 cup, cooked)",non-veg,vitamin_c, hypertension cancer heart_disease rickets goitre kidney_disease pregnancy diabeties, low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,455
meal_id142,Grilled Salmon with Roasted Vegetables,Fish,"Salmon fillet (200g), Olive oil (1 tablespoon), Lemon juice (1 tablespoon), Garlic (2 cloves, minced), Salt (to taste), Black pepper (to taste), Bell peppers (assorted colors, 1 cup, sliced), Zucchini (1, sliced), Red onion (1, sliced), Cherry tomatoes (1 cup), Mixed herbs (1 teaspoon)",non-veg,vitamin_a, anemia pregnancy hypertension cancer scurvy heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet dash_diet low_carb_diet,665
meal_id143,Seaweed Salad with Tofu and Quinoa, Salad,"Mixed seaweed (50g), Tofu (100g, cubed), Quinoa (1/2 cup, cooked), Carrot (1, shredded), Cucumber (1/2, sliced), Edamame beans (1/4 cup, shelled), Sesame seeds (1 tablespoon, toasted), Rice vinegar (2 tablespoons), Soy sauce (1 tablespoon), Sesame oil (1 teaspoon), Maple syrup (1 teaspoon)",veg,iodine, anemia pregnancy rickets goitre obesity, type_o_diet omni_diet ketogenic_diet vegan_diet dash_diet,445
meal_id144,Roasted Carrot and Red Pepper Soup, Soup,"Carrots (500g, chopped), Red bell pepper (1, diced), Onion (1, diced), Garlic (3 cloves, minced), Vegetable broth (4 cups), Coconut milk (1/2 cup), Olive oil (2 tablespoons), Salt (to taste), Black pepper (to taste), Fresh parsley (for garnish)",veg,vitamin_a, anemia goitre, ketogenic_diet,300
meal_id145,Kale and Spinach Salad with Grilled Tofu, Salad,"Kale leaves (2 cups, chopped), Spinach leaves (1 cup), Tofu (200g, grilled and cubed), Cherry tomatoes (1 cup, halved), Avocado (1, sliced), Red onion (1/4, thinly sliced), Hemp seeds (2 tablespoons), Lemon juice (2 tablespoons), Olive oil (1 tablespoon), Dijon mustard (1 teaspoon), Maple syrup (1 teaspoon), Salt (to taste), Black pepper (to taste)",veg,vitamin_a, cancer, alkaline_diet hormone_diet,220
meal_id146,Quinoa and Black Bean Salad,Salad,"Quinoa (1 cup, cooked), Black beans (1 cup, cooked), Red bell pepper (1, diced), Cucumber (1, diced), Cherry tomatoes (1 cup, halved), Red onion (1/4, finely chopped), Fresh cilantro (1/4 cup, chopped), Lime juice (2 tablespoons), Olive oil (1 tablespoon), Cumin powder (1 teaspoon), Salt (to taste), Black pepper (to taste)",veg,iron, obesity diabeties goitre anemia, low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet dash_diet,550
meal_id147,Grilled Salmon with Lemon Herb Quinoa and Steamed Broccoli,Fish,"Salmon fillet (200g), Olive oil (1 tablespoon), Lemon juice (1 tablespoon), Garlic (2 cloves, minced), Fresh parsley (2 tablespoons, chopped), Quinoa (1/2 cup, cooked), Broccoli florets (1 cup, steamed), Salt (to taste), Black pepper (to taste)",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,220
meal_id57,Grilled Lemon Garlic Chicken Breast with Roasted Vegetables,Chicken,"Chicken breast (200g, grilled), Olive oil (1 tablespoon), Lemon juice (1 tablespoon), Garlic (2 cloves, minced), Salt (to taste), Black pepper (to taste), Assorted vegetables (bell peppers, zucchini, carrots, etc., 1 cup, chopped), Herbs (rosemary, thyme, etc., to taste)",non-veg,vitamin_c, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,560
meal_id148,Tandoori Fish Tikka,Main,"Fish fillets (500g, cut into chunks), Yogurt (1 cup), Ginger paste (1 tablespoon), Garlic paste (1 tablespoon), Lemon juice (2 tablespoons), Tandoori masala (2 tablespoons), Turmeric powder (1 teaspoon), Cumin powder (1 teaspoon), Coriander powder (1 teaspoon), Red chili powder (1 teaspoon), Salt (to taste), Vegetable oil (2 tablespoons), Onion (1, thinly sliced), Bell pepper (1, diced), Lemon wedges (for garnish), Fresh coriander leaves (for garnish)",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet low_carb_diet,635
meal_id149,Roasted Brussels Sprouts with Garlic and Parmesan,Curry,"Brussels sprouts (200g, halved), Olive oil (1 tablespoon), Garlic (2 cloves, minced), Parmesan cheese (2 tablespoons, grated), Salt (to taste), Black pepper (to taste)",veg,fiber, obesity goitre hypertension, low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet,385
meal_id150,kerala fish curry,Curry,"white fish (cut into cubes), onion, tomato, garlic cloves, fresh green chillies (deseeded), oil, fresh coconut paste, red chilli paste, coriander powder, turmeric powder, salt, whole dry red chillies, black mustard seeds, curry leaves, tamarind extract, water",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,405
meal_id151,Lemon Herb Grilled Chicken with Quinoa Salad,Chicken,"Chicken breast (200g, grilled), Lemon juice (2 tablespoons), Olive oil (1 tablespoon), Garlic (2 cloves, minced), Fresh herbs (rosemary, thyme, etc., 1 tablespoon, chopped), Quinoa (1/2 cup, cooked), Cherry tomatoes (1/2 cup, halved), Cucumber (1/2 cup, diced), Red onion (1/4 cup, finely chopped), Feta cheese (2 tablespoons, crumbled), Salt (to taste), Black pepper (to taste)",non-veg,vitamin_c, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,255
meal_id57,Chicken and Vegetable Stir-Fry,Chicken,"Chicken breast (200g, thinly sliced), Carrots (1/4 cup, julienned), Bell peppers (1/4 cup, sliced), Broccoli florets (1/2 cup), Spinach (1/2 cup, fresh), Soy sauce (1 tablespoon, low-sodium), Olive oil (1 teaspoon), Garlic (2 cloves, minced), Ginger (1 teaspoon, minced), Lemon juice (1 tablespoon), Salt (to taste), Black pepper (to taste)",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,210
meal_id59,Pesto Fish Kebabs,Kebabs,"King fish (cut into 1-inch pieces), red bell pepper (cut into 1-inch pieces), basil pesto, white wine vinegar, salt, cooking spray",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,230
meal_id152,Prawn Fried Rice,Rice,"Oil, prawns, chicken, carrot, garlic cloves, ginger, spring onion, sweet chili sauce, soy sauce, salt, black pepper, sweet corn, vinegar, cooked rice, cilantro",veg,carbohydrates, obesity cancer diabeties anemia, alkaline_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet,575
meal_id153,Damdama Fish Curry,CurryFish,"onion, tomato, Kashmiri red chili powder, cumin powder, coriander powder, cilantro, cumin seeds, salt, oil",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,555
meal_id126,Andhra Crab Meat Masala,Crab,"Processed crab meat, olive oil, curry leaves, garlic, green chili, onion, ginger-garlic paste, cilantro, coriander powder, cumin powder, turmeric powder, garam masala powder, Kashmiri chili powder, salt, lemon, chop masala, tomato",non-veg,potassium, anemia pregnancy cancer kidney_disease obesity, type_o_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,455
meal_id136,Malabari Fish Curry,Curry,"Seer fish, coconut, ginger, tamarind puree, salt, turmeric powder, green chilies, red chili powder, shallots",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,590
meal_id154,Fish with White Sauce,Sauce,"Fillet fish, oil, milk, almond flour, salt, ground black pepper",non-veg,vitamin_a, anemia pregnancy hypertension cancer scurvy heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet omni_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet low_carb_diet,240
meal_id155,Chili Fish,Fish,"Fish pieces (boneless), almond flour, cornflour, baking powder, soy sauce, celery, black pepper, salt, oil, green onion, Sauce: ginger, garlic, green chili, soy sauce, tomato sauce, chili sauce, cornflour",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,290
meal_id156,Fish Ambultiyal,Fish,"Tuna, onion, fenugreek seeds, whole chili, pandan leaf, salt, water, cardamom, cinnamon, coriander powder, black pepper, red chili, curry powder, garlic (crushed), chili flakes, goraka, salt",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,675
meal_id157,Baked Chettinad Fish,Fish,"Surmai fish, oil, garlic cloves, ginger (mashed), cumin, fennel, coriander seeds, black pepper, mustard seeds, curry leaves, salt, olive oil, water, tomato, red chili powder, turmeric powder, tamarind pulp, cornflour, lemon wedges",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,545
meal_id158,Fish Moilee,Fish,"Basa fish, onion, ginger, garlic cloves, green chili, turmeric, red chili powder, coriander powder, lemon juice, curry leaves, Olive oil, mustard seeds, black pepper, fennel, green cardamom, almond milk, cherry tomatoes",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,580
meal_id159,Batter Fish,Fish,"Fresh fish pieces (river sole or sea bass), flour, parsley, oil, baking powder, almond flour, egg (optional), soda water, salt and black pepper",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,430
